class_index, class_name                                        , num_images
          0, Apple___Apple_scab                                ,        630
          1, Apple___Black_rot                                 ,        621
          2, Apple___Cedar_apple_rust                          ,        275
          3, Apple___healthy                                   ,       1645
          4, Blueberry___healthy                               ,       1502
          5, Cherry_(including_sour)___Powdery_mildew          ,       1052
          6, Cherry_(including_sour)___healthy                 ,        854
          7, Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,        513
          8, Corn_(maize)___Common_rust_                       ,       1192
          9, Corn_(maize)___Northern_Leaf_Blight               ,        985
         10, Corn_(maize)___healthy                            ,       1162
         11, Grape___Black_rot                                 ,       1180
         12, Grape___Esca_(Black_Measles)                      ,       1383
         13, Grape___Leaf_blight_(Isariopsis_Leaf_Spot)        ,       1076
         14, Grape___healthy                                   ,        423
         15, Orange___Haunglongbing_(Citrus_greening)          ,       5507
         16, Peach___Bacterial_spot                            ,       2297
         17, Peach___healthy                                   ,        360
         18, "Pepper,_bell___Bacterial_spot"                   ,        997
         19, "Pepper,_bell___healthy"                          ,       1478
         20, Potato___Early_blight                             ,       1000
         21, Potato___Late_blight                              ,       1000
         22, Potato___healthy                                  ,        152
         23, Raspberry___healthy                               ,        371
         24, Soybean___healthy                                 ,       5090
         25, Squash___Powdery_mildew                           ,       1835
         26, Strawberry___Leaf_scorch                          ,       1109
         27, Strawberry___healthy                              ,        456
         28, Tomato___Bacterial_spot                           ,       2127
         29, Tomato___Early_blight                             ,       1000
         30, Tomato___Late_blight                              ,       1909
         31, Tomato___Leaf_Mold                                ,        952
         32, Tomato___Septoria_leaf_spot                       ,       1771
         33, Tomato___Spider_mites Two-spotted_spider_mite     ,       1676
         34, Tomato___Target_Spot                              ,       1404
         35, Tomato___Tomato_Yellow_Leaf_Curl_Virus            ,       5357
         36, Tomato___Tomato_mosaic_virus                      ,        373
         37, Tomato___healthy                                  ,       1591
